Empresa;Código(s);CNPJ
MÉLIUZ S.A.;CASH3;14.110.585/0001-07
MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.;MELK3;12.181.987/0001-77
METALFRIO SOLUTIONS S.A.;FRIO3;04.821.041/0001-08
METALÚRGICA GERDAU S.A.;GOAU3;92.690.783/0001-09
MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.;MILS3;27.093.558/0001-15
MINERVA S.A.;BEEF3;67.260.377/0001-14
MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;MTRE3;07.882.930/0001-65
MMX MINERAÇÃO E METÁLICOS S.A.;MMXM3;02.762.115/0001-49
MOBLY S.A.;MBLY3;31.553.627/0001-01
MOSAICO TECNOLOGIA AO CONSUMIDOR S.A.;MOSI3;09.083.175/0001-84
MOURA DUBEUX ENGENHARIA S/A;MDNE3;12.049.631/0001-84
MOVIDA PARTICIPAÇÕES S.A.;MOVI3;21.314.559/0001-66
MPM CORPÓREOS S.A.;ESPA3;26.659.061/0001-59
MRV ENGENHARIA E PARTICIPAÇÕES S.A.;MRVE3;08.343.492/0001-20
MULTILASER INDUSTRIAL S.A.;MLAS3;59.717.553/0001-02
MULTIPLAN – EMPREENDIMENTOS IMOBILIÁRIOS S.A.;MULT3;07.816.890/0001-53
NATURA & CO HOLDING S.A.;NTCO3;32.785.497/0001-97
NEOENERGIA S.A.;NEOE3;01.083.200/0001-18
NEOGRID PATICIPAÇÕES S.A.;NGRD3;10.139.870/0001-08
NOTRE DAME INTERMÉDICA PARTICIPAÇÕES S.A.;GNDI3;19.853.511/0001-84
OCEANPACT SERVIÇOS MARÍTIMOS S.A.;OPCT3;09.114.805/0001-30
ODONTOPREV S.A.;ODPV3;58.119.199/0001-51
OI S.A.;OIBR3;76.535.764/0001-43
OMEGA GERAÇÃO S.A.;OMGE3;09.149.503/0001-06
ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.;ONCO3;12.104.241/0004-02
ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.;ORVR3;11.421.994/0001-36
OSX BRASIL S.A.;OSXB3;09.112.685/0001-32
OURO FINO SAÚDE ANIMAL PARTICIPAÇÕES S.A.;OFSA3;20.258.278/0001-70
PADTEC HOLDING S.A.;PDTC3;02.365.069/0001-44
PARANAPANEMA S.A.;PMAM3;60.398.369/0004-79
PBG S/A;PTBL3;83.475.913/0001-91
PDG REALTY S.A. EMPREENDIMENTOS E PARTICIPAÇÕES;PDGR3;02.950.811/0001-89
PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.;PETZ3;18.328.118/0001-09
PETRO RIO S.A.;PRIO3;10.629.105/0001-68
PETRÓLEO BRASILEIRO S.A. PETROBRAS;PETR3;33.000.167/0001-01
PETRORECÔNCAVO S.A.;RECV3;03.342.704/0001-30
PLANO E PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.;PLPL3;24.230.275/0001-80
POMIFRUTAS S/A;FRTA3;86.550.951/0001-50
PORTO SEGURO S.A.;PSSA3;02.149.205/0001-69
POSITIVO TECNOLOGIA S.A.;POSI3;81.243.735/0001-48
PRINER SERVIÇOS INDUSTRIAIS S.A.;PRNR3;18.593.815/0001-97
PROFARMA DISTRIBUIDORA DE PRODUTOS FARMACÊUTICOS S.A.;PFRM3;45.453.214/0001-51
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;QUAL3;11.992.680/0001-93
RAIA DROGASIL S.A.;RADL3;61.585.865/0001-51
RAIZEN S.A.;RAIZ4;33.453.598/0001-23
RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES;RAPT3;89.086.144/0001-16
REDE DOR SÃO LUIZ S.A.;RDOR3;06.047.087/0001-39
RENOVA ENERGIA S.A.;RNEW3;08.534.605/0001-74
RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS S.A.;LLIS3;49.669.856/0001-43
RNI NEGÓCIOS IMOBILIÁRIOS S.A.;RDNI3;67.010.660/0001-24
ROSSI RESIDENCIAL S.A.;RSID3;61.065.751/0001-80
RUMO S.A.;RAIL3;02.387.241/0001-60
SANTOS BRASIL PARTICIPAÇÕES S.A.;STBP3;02.762.121/0001-04
SÃO CARLOS EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;SCAR3;29.780.061/0001-09
SÃO MARTINHO S.A.;SMTO3;51.466.860/0001-56
SARAIVA LIVREIROS S.A.;SLED3;60.500.139/0001-26
SENDAS DISTRIBUIDORA S.A.;ASAI3;06.057.223/0001-71
SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;SEQL3;01.599.101/0001-93
SER EDUCACIONAL S.A.;SEER3;04.986.320/0001-13
SIMPAR S.A.;SIMH3;07.415.333/0001-20
SINQIA S.A.;SQIA3;04.065.791/0001-99
SLC AGRÍCOLA S.A.;SLCE3;89.096.457/0001-55
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;SMFT3;07.594.978/0001-79
SPRINGS GLOBAL PARTICIPAÇÕES S.A.;SGPS3;07.718.269/0001-57
SUL AMERICA S.A.;SULA3;29.978.814/0001-87
SUZANO S.A.;SUZB3;16.404.287/0001-55
SYN PROP E TECH S.A.;SYNE3;08.801.621/0001-86
T4F ENTRETENIMENTO S.A.;SHOW3;02.860.694/0001-62
TAURUS ARMAS S.A.;TASA3;92.781.335/0001-02
TC TRADERS CLUB S.A.;TRAD3;26.345.998/0001-50
TECHNOS S.A.;TECN3;09.295.063/0001-97
TECNISA S.A.;TCSA3;08.065.557/0001-12
TEGMA GESTÃO LOGÍSTICA S.A.;TGMA3;02.351.144/0001-18
TERRA SANTA PROPRIEDADES AGRÍCOLAS S.A.;LAND3;40.337.136/0001-06
TIM S.A.;TIMS3;02.421.421/0001-11
TOTVS S.A.;TOTS3;53.113.791/0001-22
TPI – TRIUNFO PARTICIPAÇÕES E INVESTIMENTOS S.A.;TPIS3;03.014.553/0001-91
TRACK & FIELDS CO S.A.;TFCO4;59.418.806/0001-47
TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A;TAEE3;07.859.971/0001-30
TRÊS TENTOS AGROINDUSTRIAL S/A;TTEN3;94.813.102/0001-70
TRISUL S.A.;TRIS3;08.811.643/0001-27
TUPY S.A.;TUPY3;84.683.374/0001-49
ULTRAPAR PARTICIPAÇÕES S.A.;UGPA3;33.256.439/0001-39
UNICASA INDÚSTRIA DE MÓVEIS S.A.;UCAS3;90.441.460/0001-48
UNIFIQUE TELECOMUNICAÇÕES S.A.;FIQE3;02.255.187/0001-08
USINAS SID DE MINAS GERAIS S.A. – USIMINAS ;USIM3;60.894.730/0001-05
VALE S.A.;VALE3;33.592.510/0001-54
VALID SOLUÇÕES S.A.;VLID3;33.113.309/0001-47
VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.;VAMO3;23.373.000/0001-32
VIA S.A.;VIIA3;33.041.260/0652-90
VIBRA ENERGIA S.A.;VBBR3;34.274.233/0001-02
VITTIA FERTILIZANTES BIOLÓGICOS S.A.;VITT3;45.365.558/0001-09
VIVARA PARTICIPAÇÕES S.A.;VIVA3;33.839.910/0001-11
VIVER INCORPORADORA E CONSTRUTORA S.A.;VIVR3;67.571.414/0001-41
VULCABRAS S.A.;VULC3;50.926.955/0001-42
WEG S.A.;WEGE3;84.429.695/0001-11
WESTWING COMÉRCIO VAREJISTA S.A.;WEST3;14.776.142/0001-50
WILSON SONS HOLDINGS BRASIL S.A.;PORT3;33.130.691/0001-05
WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.;WIZS3;42.278.473/0001-03
YDUQS PARTICIPAÇÕES S.A.;YDUQ3;08.807.432/0001-10
